Input,Output
Follow the Safety Instructions,Obey the Safety Instructions
Grease the Fasteners,Apply grease to the fasteners
No leaks permitted,Make sure that there are no leaks
See if the pins are installed correctly,Make sure that the pins are properly installed.
Turn shaft assembly,Turn the shaft assembly
Some engines must be turned off,Turn off the engines that are not necessary 
The material is able to withstand fire,The material is resistant to fire
The pressure shouldn't exceed the maximum threshold,Make sure the pressure does not 
All valves must be closed manually,Close all valves by hand
"When the heaters are under great pressure, it is advised to not stand near them.","Do no stand near the heaters, if it is under pressure"
Begin preparations for analysis and maintenance for the veichle,Get ready to examine the veichle for repair
Begin the checklist for safety protocols,Start saftey instructions
The headlights will begint to dim when the power is low,"On low power, the headlights become dim"
Cleaning that are will be needed,Clean the area
Use caution when handling heavy materials during load stages,Heavy materials are handled with caution
The base of the structure must be secured.,Make sure the bottom of the structure is stable
The main parts of the device.,The primary parts of the device.
Get the cars inside if the weather decides to get worse.,Make sure the cars are inside if the weather gets worse.
Make a sandwich with two washers and the spacer,Install the spacer with two washers
"If faulty wires are located, repair them immediately.","If faulty wires are found, repair them"
Clamp the wires into position,Clamp the wires to hold it in position
The plate is made of carbon fibre reinforced plastic,The plate is made of carbone fiber reinforced plastic
Avoid inhaling toxic fumes,Do not breathe in toxic fumes
Turn dial,Turn the dial
The nuts and bolts have been installed.,The nuts and the bolts are installed.
The temperature must be adjusted to avoid pressurization.,Adjust the temperature to avoid pressurization.
"Whenever the door is opening, be sure to stand a fair distance away",Stand back when the door is opening
The circuits are connected by a switching relay,A switching relay connects the circuits
The Operator is the one in charge for testing,Operator is in charge for testing
Wear the appropriate PPE when on the worksite,Wear PPE at the location
Check the veichle battery,Do a check of the veichle battery
Different temperatures will change the cure time,Increase the temperature to decrease the cure time
Can be a maximum of five inches long,Cracks can have a maximum length of five inches
Rotary Switch to INPUT,Set the rotary switch to INPUT
"If installed, remove the shims","If shims are installed, remove them"
"WARNING: MAKE SURE THAT THE PORTABLE WATER SYSTEM IS NOT PRESSURIZED. IF NOT, THIS CAN CAUSE INJURY TO PERSONS",WARNING: MAKE SURE THAT THE PORTABLE WATER SYSTEM IS NOT PRESSURIZED. A PRESSURIZED SYSTEM CAN CAUSE INJURY TO PERSONS
Remove the bolt and stop,Remove the bolt and the stop
"if your hands are wet, don't touch the USB power adapter.","If your hands are wet, do not touch the USB power adapter"
Put the preservation oil into the unit through the vent hole until the oil level is approximately 6 mm (0.24 inches) below the surface of the flange cover.,Put the preservation oil into the unit through the vent hole. Continue until the oil level is approximately 6 mm (0.24 in) below the surface of the flange cover.
The test can be continued,Continue the test
Oil and grease are to be removed with a degreasing agent,Remove oil and grease with a degreasing agent
NOTE: Make sure that the avionics ventilation system continues to operate correctly,Make sure that the avionics ventilation system continues to operate correctly.
"NOTE: When you connect the lines, do not bend them too much. If you bend them too much, you can cause damage to them","CAUTION: WHEN YOU CONNECT THE LINES, DO NOT BEND THEM TOO MUCH. IF YOU BEND THEM TOO MUCH, YOU CAN CAUSE DAMAGE TO THEM"
"NOTE: Before closing the hatch, it is mandatory to ensure that no persons are in the crew rest compartment. When the hatch is closed, there is no airflow to the compartment and therefore there is a risk of suffocation.","WARNING: BEFORE YOU CLOSE THE HATCH, MAKE SURE THAT NO PERSONS ARE IN THE CREW REST COMPARTMENT. WHEN THE HATCH IS CLOSED, THERE IS NO AIRFLOW TO THE COMPARTMENT AND THERE IS A RISK OF SUFFOCATION."
"A smartphone is a cellular telephone that has an integrated computer and many other qualities, such as an operating system, internet browsing as well as the ability to run software applications",A smartphone is a cellular telephone that has an integrated computer and many other qualities. It includes an operating system and an internet browser and it can also operate software applications.
CAUTION: EXTREME CLEANLINESS OF OXYGEN TUBES IS IMPERATIVE.,WARNING: MAKE SURE THAT THE OXYGEN TUBES ARE FULLY CLEAN. OXYGEN AND OIL OR GREASE MAKE AN EXPLOSIVE MIXTURE. AN EXPLOSION CAN CAUSE INJURY OR DEATH TO PERSONNEL.
The battery is not user-replaceable; it can only be replaced by an approved service provider.,Do not replace the battery. Only an approved service provider can replace it.
A value of 2 mm is acceptable.,A value of 2 mm is permitted.
The oil level on the sight guage must be visible during the test.,Make sure that you can see the oil level on the sight guage during the test.
Cycle the unit twice to remove air from the lines.,Operate the unit for two cycles to remove air from the lines.
"Without this modification, the service life of the unit can be uncertian.","Without this modification, it is possible that the service life of this unit will be shorter than usual"
Just apply very light pressure to the surface,Only apply very light pressure to the surface
The incidence of water in fuel is dangerous,Water in fuel is dangerous
"If the air intake flap has failed, deactivate air inlet valve.","If the air intake flap is not serviceable, lock the air inlet valve in the fully open position"
Wear protective clothing,Use protective clothing
This regulation extends to all units.,This regulation is applicable to all units.
"When the pressure goes down, lift the cover.","When the pressure decreases, lift the cover."
